"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"27-May",0,0,0,0,0,0,0,0,0,0,12.59743309021,0,0,0,0,0,0,0,10.6564064025879,0,0,1.50942575931549,0,0,0,5.48301076889038,0,0,14.6931638717651,0,0,7.36641788482666,16.0830230712891,0,0,13.1403036117554,17.6938877105713,
"28-May",0,7.82489347457886,0,0,6.77795219421387,0,0,0,3.74132776260376,0,3.17024827003479,0,0,4.81139087677002,2.20760560035706,2.70477771759033,0,0,0,0,0,0,8.98933696746826,0,0,0,0,0,6.47845458984375,9.21402931213379,0,0,0,0,11.2936592102051,14.0523157119751,12.9742517471313,
"29-May",0,0,6.00313901901245,0,16.8465480804443,3.89639091491699,0,0,0,3.73433399200439,1.38232815265656,15.2881097793579,9.19969654083252,0,2.76100492477417,0,0,1.25341129302979,0,10.7145109176636,3.66833519935608,5.00229597091675,4.90549564361572,0,0,0,0,9.26697444915771,20.7875289916992,7.72842979431152,0,10.2774114608765,0,0,0,28.5208168029785,0,
"30-May",2.73709607124329,0,0,0,7.9044361114502,13.753210067749,0,0,0,4.39284706115723,12.5045356750488,0,4.33947038650513,10.8165912628174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0650062561035,28.8554725646973,0,0,9.50435638427734,3.70338749885559,
"31-May",0,0,0,4.55902290344238,0,0,3.33313012123108,0,0,4.40686988830566,7.88009309768677,14.8496131896973,23.8359394073486,0,0,0,3.10449528694153,0,0,9.9767541885376,0,0,0,0,2.81450867652893,0,0,0,0,4.77905321121216,0,25.7619495391846,15.9428100585938,0,0,0,0,
"1-Jun",0,0,9.81794834136963,5.52905941009521,45.9573020935059,9.26817989349365,0,0,0,20.1733493804932,10.7583560943604,8.81142234802246,1.51638412475586,5.34679841995239,7.35472822189331,0,0,0,0,0,0,4.93104553222656,0,0,11.3373355865479,0,0,0,0,0,16.7575149536133,0,0,0,11.0471363067627,0,6.04879713058472,
"2-Jun",0,0,0,0,0,0,5.22110509872437,0,0,0,-999,0,0,0,0,0,0,8.06525135040283,0,0,0,1.91785275936127,0,0,5.55873727798462,0,0,9.79980182647705,0,0,0,0,0,0,23.7701435089111,0,0,
"3-Jun",0,22.3780956268311,0,0,0,31.2576236724854,0,0,0,0,5.59635210037231,0,0,0,0,0,0,0,0,21.9521923065186,0,0,0,0,20.7839794158936,0,0,0,5.58855724334717,0,8.22768115997314,4.37714624404907,6.90235710144043,0,0,0,0,
"4-Jun",9.97773742675781,22.2136287689209,0,0,0,0,0,0,0,0,0,0,0,0,3.20691609382629,6.55254602432251,0,0,0,0,7.27795267105103,0,14.3267011642456,5.97192811965942,0,0,2.4017117023468,0,0,2.83113980293274,0,4.03912734985352,0,0,0,0,25.6254997253418,
"5-Jun",0,0,0,0,0,9.46427536010742,0,0,0,0,0,0,0,0,0,0,0,0,1.72656834125519,0,0,2.70631170272827,0,3.09505033493042,0,3.64100861549377,0,0,0,0,5.7663254737854,0,10.3985548019409,5.51352024078369,0,0,0,
"6-Jun",3.86324405670166,0,0,0,0,0,-999,0,0,6.73545551300049,0,0,10.6348075866699,0,0,0,0,0,0,2.57267427444458,0,0,0,0,0,13.2541284561157,0,0,0,4.37475824356079,0,5.20934915542603,0,0,0,0,18.7250099182129,
"7-Jun",0,0,0,0,0,0,0,0,0,0,3.58436226844788,0,0,0,3.78322339057922,0,0,0,0,3.6012327671051,7.88118743896484,0,0,0,0,0,0,8.59517192840576,0,0,2.95230031013489,0,0,0,0,0,17.3317279815674,
"8-Jun",10.8769903182983,0,0,11.2743272781372,0,9.46465396881104,5.83253717422485,0,0,0,0,10.2387065887451,0,0,0,0,0,0,9.09352016448975,9.86895847320557,0,0,15.9885139465332,0,16.9618473052979,0,10.7508916854858,0,0,0,3.90946245193481,0,3.37916231155396,0,28.1540794372559,0,18.3594131469727,
"9-Jun",1.68673181533813,0,0,0,0,4.26698446273804,0,0,9.87178134918213,0,0,0,6.19108438491821,15.2587471008301,0,0,0,0,0,0,2.85644149780273,10.9573040008545,0,0,0,0,0,2.99347352981567,0,3.10328674316406,0,17.5255012512207,0,0,6.57911205291748,0,0,
"10-Jun",5.09474754333496,0,46.2043151855469,0,0,0,0,1.48100244998932,4.16799259185791,7.729567527771,0,0,0,0,1.81432116031647,0,0,0,0,0,0,0,0,12.0004234313965,3.11862063407898,9.54650497436523,0,0,0,3.58235669136047,0,0,13.5917272567749,11.372486114502,18.4155826568604,9.48988819122314,0,
"11-Jun",17.1804752349854,19.053337097168,0,0,0,5.87009906768799,12.6170721054077,0,5.8798394203186,0,0,0,0,0,2.57113599777222,0,0,0,0,0,0,0,25.9011516571045,0,0,0,0,0,3.46099448204041,0,0,0,0,26.8046932220459,0,0,12.1795425415039,
"12-Jun",0,0,0,0,0,0,15.5234270095825,5.72080850601196,0,2.7442455291748,0,0,0,14.0059576034546,5.82063579559326,0,0,0,0,8.31736660003662,0,0,0,4.20168781280518,0,0,0,8.64657020568848,0,0,2.81638050079346,0,17.567943572998,6.56364393234253,9.59999656677246,16.3503322601318,0,
"13-Jun",0,8.19564437866211,14.6378879547119,0,19.2043552398682,0,0,0,0,0,-999,0,5.47350645065308,0,0,14.4221363067627,0,0,0,2.76493525505066,0,0,0,2.17284059524536,4.19908666610718,0,0,0,6.77886772155762,0,6.9277868270874,8.23986434936523,0,9.99805450439453,0,0,0,
"14-Jun",-999,0,15.6188297271729,0,11.2891302108765,3.0718047618866,0,0,0,3.86186408996582,0,0,0,0,0,0,0,0,0,0,0,0,0,6.90981292724609,1.96066772937775,3.50788426399231,0,8.6046724319458,0,0,0,0,0,0,19.2699508666992,11.8895902633667,10.8341388702393,
"15-Jun",0,0,0,0,16.0009326934814,0.898396670818329,0,0,4.55608320236206,1.95172107219696,0,0,0,0,0,35.519287109375,0,0,0,4.05102872848511,0,0,1.95891618728638,0,3.86077642440796,6.21277952194214,0,0,0,7.29595518112183,0,0,10.9400415420532,0,0,8.23827838897705,0,
"16-Jun",0,0,0,0,0,0,0,15.8851385116577,146.52717590332,0,0,0,0,0,0,0,0,0,4.35088396072388,0,27.7856616973877,0,11.47434425354,17.8386402130127,0,0,0,0,4.66452074050903,3.48814368247986,0,0,0,0,0,0,0,
"17-Jun",0,0,12.1227798461914,0,10.2371225357056,0,0,0,1.27232158184052,0,2.48259806632996,8.87821578979492,0,0,0,0,0,0,18.0000019073486,0,9.72543239593506,0,0,0,5.99327754974365,0,0,0,3.46518707275391,0,0,6.33555936813354,0,0,19.0638675689697,3.95320510864258,0,
"18-Jun",-999,0,0,0,0,4.685622215271,0,0,4.73608016967773,1.48384022712708,0,15.9001970291138,5.64071273803711,0,0,0,0,0,0,0,0,0,0,0,0,3.66232538223267,0,11.1642866134644,0,6.10467004776001,0,5.92175340652466,0,0,0,0,0,
"19-Jun",0,0,22.5402660369873,0,0,1.90438985824585,0,0,0,0,0,0,0,0,0,0,0,0,5.32519006729126,0,3.76280784606934,2.88370800018311,0,0,1.02630424499512,0,0,0,0,4.28216361999512,8.76307106018066,15.3163013458252,16.0507106781006,0,0,0,8.4544563293457,
"20-Jun",0,0,24.4572525024414,0,0,14.6017608642578,3.12869024276733,0,0,0,10.9451532363892,0,0,5.41308927536011,9.53866004943848,0,2.41579627990723,0,3.6439745426178,0,14.3394985198975,2.09872770309448,0,6.92111682891846,0,0,0,0,0,4.87183141708374,4.25092554092407,0,0,0,0,13.0296277999878,0,
"21-Jun",0,0,99.1464385986328,0,8.7241735458374,0,7.66203022003174,0,0,5.2793984413147,0,9.31126499176025,3.74938178062439,0,0,0,1.46142649650574,0,0,0,0,10.3817892074585,0,0,11.2481393814087,0,0,0,0,5.76700448989868,8.54130172729492,4.83810520172119,0,20.6062755584717,5.37254190444946,0,0,
"22-Jun",0,0,0,23.3224105834961,0,0,0,0,4.39423608779907,0,0,0,0,17.7672233581543,0,0,3.21768760681152,0,0,0,0,7.03509902954102,4.58043432235718,0,14.4989051818848,0,21.2871417999268,6.53008460998535,0,12.8323669433594,11.0666284561157,7.93893766403198,0,0,5.02866268157959,0,19.043514251709,
"23-Jun",0,0,0,-999,11.6946353912354,0,0,0,7.80309820175171,0,0,0,3.71439695358276,0,3.24993753433228,0,0,0,2.90457248687744,2.42222595214844,5.89850568771362,0,0,0,0,6.18838882446289,5.28820180892944,5.17300653457642,0,0,0,0,0,0,4.20133495330811,0,0,
"24-Jun",8.01794052124023,0,0,3.96610379219055,32.2936630249023,0,5.38929176330566,0,0,0,0,18.1219692230225,0,0,0,0,8.11605834960938,4.05104160308838,1.99484157562256,0,0,5.20990896224976,3.60260510444641,0,0,0,0,5.45936346054077,0,3.49010848999023,3.1679208278656,0,0,23.491397857666,0,0,8.61449527740479,
"25-Jun",0,4.37444734573364,9.74464130401611,31.1616535186768,0,4.1985387802124,0,0,0,0,0,0,10.4771947860718,11.8223552703857,4.359290599823,0,0,0,0,0,7.86794376373291,6.35054397583008,4.74819564819336,0,2.32086849212646,0,0,0,0,5.89330196380615,0,0,0,0,32.6662063598633,5.85308694839478,3.60138249397278,
"26-Jun",18.6638813018799,-999,0,97.9725723266602,5.38178205490112,0,11.4740648269653,0,0,3.16167807579041,0,0,10.4076595306396,0,41.9577026367188,0,7.45317983627319,4.00933599472046,0,0,0,0,0,10.024188041687,0,4.19900894165039,0,1.21965312957764,3.01019191741943,0,0,0,13.0712451934814,0,15.0595378875732,0,0,
"27-Jun",10.0328664779663,0,-999,6.09665489196777,31.8503704071045,10.4534931182861,4.5352258682251,1.89554715156555,0,8.21192073822021,10.5219373703003,0,4.10823583602905,0,5.80689764022827,0,20.2048053741455,1.25325119495392,0,0,6.60967111587524,4.79378175735474,0,0,22.184944152832,0,0,0,5.09305953979492,0,0,6.23784112930298,3.52613663673401,15.6436605453491,0,0,0,
"28-Jun",0,11.2046270370483,0,17.9363327026367,-999,0,0,5.61904811859131,6.07369518280029,0,0,15.7289295196533,0,0,0,0,0,3.77644658088684,12.1972122192383,0,1.89495635032654,3.15472555160522,3.41210842132568,0,4.02838039398193,0,0,0,0,9.46784019470215,0,7.28826093673706,9.6500358581543,0,25.9553260803223,17.4820232391357,22.0298728942871,
"29-Jun",7.17142581939697,14.9510879516602,0,4.65514421463013,-999,0,0,0,0,13.000904083252,49.1949844360352,0,0,5.77937126159668,0,0,0,0,0,0,8.32431030273438,0,2.88931727409363,5.75311994552612,0,0,0,0,5.65996742248535,0,0,30.6415786743164,6.69435262680054,11.9179859161377,0,0,6.36727952957153,
"30-Jun",-999,13.3445987701416,0,18.2970600128174,-999,0,6.3127613067627,0,0,2.91524815559387,0,0,0,8.08517932891846,4.1013388633728,0,0,0,4.90398073196411,0,10.3857145309448,12.4311218261719,0,14.6317472457886,8.15400886535645,0,0,0,3.43886995315552,0,13.5807685852051,10.5821542739868,18.1212520599365,0,0,0,0,
"1-Jul",-999,0,0,-999,0,0,0,0,20.7719306945801,0,0,27.7730331420898,-999,0,44.3681640625,0,0,0,0,0,0,0,0,0,4.26798725128174,0,5.3505654335022,0,0,55.0410118103027,0,0,0,10.0235376358032,0,5.32844018936157,0,
"2-Jul",0,21.1880378723145,0,0,0,8.19489479064941,17.4696235656738,0,0,0,8.49006462097168,0,-999,0,0,0,7.87296628952026,4.60271310806274,19.7180614471436,1.61077308654785,0,5.84910774230957,6.63816261291504,0,0,6.23232364654541,0,11.1969604492188,0,0,0,7.80277156829834,4.72111701965332,4.27800273895264,6.64964532852173,0,8.64081859588623,
"3-Jul",6.34483098983765,0,0,8.26023101806641,-999,21.1037139892578,7.62834024429321,0,0,0,0,0,-999,0,0,6.9601993560791,0,0,0,0,11.4164896011353,0,9.29896450042725,0,13.0163440704346,20.6686859130859,0,4.2792010307312,0,0,0,8.20380687713623,23.8675479888916,14.9408941268921,0,0,0,
"4-Jul",0,14.2654180526733,0,0,9.92894840240479,0,5.32852506637573,13.0098543167114,4.34260129928589,0,0,5.90472030639648,0,0,34.8908538818359,0,5.09518527984619,0,4.4975414276123,0,0,3.89907360076904,0,0,4.2987232208252,3.39651250839233,23.4576168060303,0,0,4.9506402015686,0,0,21.9129428863525,0,0,12.0494136810303,0,
"5-Jul",0,0,0,0,0,1.42668330669403,0,0,0,4.30401611328125,0,0,14.9131345748901,0,0,7.11493062973022,5.1348557472229,0,7.79342365264893,2.97415328025818,0,2.22318291664124,7.2000994682312,7.0781683921814,24.4704246520996,0,0,1.6994868516922,0,0,0,0,0,10.503044128418,0,0,10.0027027130127,
"6-Jul",0,0,0,5.75812530517578,0,2.89506793022156,5.38715028762817,2.53549861907959,8.83224678039551,0,11.7794952392578,0,8.24167919158936,0,0,0,0,0,8.33666133880615,0,5.67253017425537,5.28733158111572,0,16.9251346588135,7.02929973602295,3.07695031166077,0,0,5.57341575622559,0,0,21.1977062225342,15.4905815124512,0,0,10.6197967529297,0,
"7-Jul",0,14.6761112213135,0,0,12.5294828414917,0,0,0,0,0,0,12.2843627929688,0,17.4442100524902,0,0.602235317230225,0,5.65768957138062,0,0,6.74007558822632,0,0,11.0283489227295,0,2.68666410446167,6.34397602081299,3.88727068901062,3.03171992301941,0,0,5.54883527755737,0,12.6831083297729,21.6486206054688,0,10.783145904541,
"8-Jul",0,0,15.4241857528687,13.5376958847046,9.17889308929443,0,0,9.04595565795898,19.0241050720215,4.32851982116699,0,0,13.0639448165894,2.63057589530945,0,11.6468820571899,0,0,56.6524887084961,4.94667911529541,0,3.40361452102661,3.69840288162231,20.4486827850342,6.34947967529297,0,9.91090297698975,0,0,15.2139492034912,7.09625482559204,0,0,0,22.713191986084,0,10.6635971069336,
"9-Jul",6.14675092697144,12.8147315979004,6.19153881072998,4.68855857849121,0,4.80849981307983,2.75548410415649,3.81326031684875,0,0,0,4.4039306640625,2.55192565917969,7.71616363525391,4.90573835372925,8.37900829315186,4.28138589859009,0,0,40.8430557250977,0,0,15.3926448822021,0,0,0,0,5.02263641357422,1.78736639022827,0,0,8.26112651824951,0,6.8142991065979,10.0277576446533,2.54506421089172,0,
"10-Jul",0,0,26.6807441711426,6.58743524551392,0,0,30.0040988922119,0,0,11.236044883728,0,3.91021871566772,11.3599634170532,0,20.819185256958,3.67758440971375,15.4978742599487,11.1978178024292,13.0331659317017,0,4.6684398651123,0,0,0,0,14.5363397598267,0,0,0,3.12817072868347,0,13.8519191741943,0,19.5325469970703,15.2522249221802,0,16.2138557434082,
"11-Jul",0,0,36.3080215454102,27.9504375457764,26.4980850219727,0,0,4.5486364364624,4.19583082199097,2.11648559570312,0,-999,0,2.45718717575073,34.0281372070312,12.2510204315186,0,0,0,3.98912668228149,0,0,0,0,6.11232233047485,0,0,0,0,12.6616096496582,0,0,0,6.51174020767212,18.9973888397217,0,0,
"12-Jul",-999,0,0,0,31.4289264678955,4.09073877334595,0,2.19196891784668,0,6.66090440750122,0,0,8.3648796081543,0.691035807132721,0,6.65691947937012,0,12.8415288925171,0,0,0,0,0,11.5928592681885,29.1171245574951,0,10.1682825088501,4.80298137664795,0,0,0,0,17.8922748565674,0,20.1597938537598,5.72298908233643,0,
"13-Jul",3.25473213195801,0,0,6.47248268127441,0,0,2.28255033493042,0,0,0,0,0,16.9830322265625,0,4.40671586990356,0,0,2.01113796234131,18.3563251495361,0,0,2.4166886806488,0,0,3.02379965782166,0,7.45432662963867,0,0,5.93234539031982,2.38190817832947,28.0382652282715,13.1873321533203,7.92311429977417,0,5.19273042678833,0,
"14-Jul",0,0,7.1240177154541,0,0,5.71532392501831,7.53008031845093,0,2.13603901863098,4.06695318222046,13.5004062652588,6.86578941345215,0,7.5491828918457,0.518118679523468,2.52964305877686,0,2.03988456726074,0,2.074303150177,4.08521795272827,0,0,8.86229133605957,0,5.24246168136597,0,4.61998128890991,0,0,0,18.9738903045654,10.1241855621338,0,0,0,6.80913066864014,
"15-Jul",0,0,0,0,0,0,0,3.99064803123474,4.29442262649536,2.70043039321899,6.01832818984985,6.81833744049072,0,4.04937601089478,0,0,6.51053524017334,9.72856044769287,0,0,0,16.961181640625,0.868950247764587,0,9.42189788818359,0,4.25609636306763,5.42803192138672,0,6.25507593154907,16.92822265625,0,6.3599705696106,21.2174530029297,10.7384061813354,0,0,
"16-Jul",-999,0,7.91348791122437,13.6935214996338,0,0,0,1.02318918704987,0,0,8.3923282623291,0,0,0,11.0495090484619,0,18.4817523956299,0,0,0,2.14711689949036,0,9.28299808502197,0,4.92007875442505,0,0,0,0,2.58978176116943,5.82004356384277,0,0,7.48041105270386,24.197925567627,0,21.6323184967041,
"17-Jul",0,18.5361328125,9.00000095367432,4.38198184967041,0,0,8.08227920532227,27.009729385376,0,0,13.9315614700317,8.72363567352295,14.4633359909058,12.0863599777222,9.15024566650391,2.93428468704224,0,0,1.12046611309052,4.52089214324951,1.69458055496216,2.30733585357666,0,13.871190071106,2.08452558517456,4.86252164840698,14.0161323547363,2.20971918106079,9.7371301651001,0,6.30609750747681,8.55992221832275,12.2086772918701,23.7580986022949,0,18.8469295501709,0,
"18-Jul",0,0,0,53.4846878051758,0,0,0,0,4.91550254821777,0,0,4.11076402664185,27.379602432251,0,5.47399234771729,8.88452625274658,0,8.17924213409424,11.2314319610596,0,0,0,7.73851680755615,0,16.2036800384521,0,0,21.5371017456055,0,3.37933921813965,3.35156941413879,8.18763637542725,18.006799697876,5.49828338623047,0,0,0,
"19-Jul",1.9923540353775,0,11.0013942718506,0,0,0,0,0,5.95877695083618,0,14.2838640213013,26.9550495147705,0,0,0,0,10.9306077957153,0,0,0,0,5.53982257843018,0,18.0508556365967,0,5.65663194656372,0,11.4780883789062,5.20027112960815,0,0,23.0062522888184,0,14.6259479522705,20.4833641052246,9.90036964416504,3.31786632537842,
"20-Jul",-999,3.27165508270264,0,5.14253282546997,11.6430187225342,4.64586353302002,0,0,0,7.37983894348145,2.80034327507019,0,0,0,18.7744235992432,5.27723121643066,0.287453800439835,0,0,0,0,4.55264282226562,0,0,0,0,8.39711380004883,6.42710065841675,0,0,0,0,0,0,8.08293151855469,0,0,
"21-Jul",3.05224943161011,0,0,0,0,-999,0,2.24145793914795,0,0,0,0,0,0,73.9051895141602,20.3128395080566,13.2189702987671,12.7674131393433,0,1.06458246707916,3.25258874893188,0,4.84015464782715,2.94157123565674,19.2603187561035,0,5.02293586730957,5.50448608398438,16.1673908233643,21.817777633667,0,0,10.4186954498291,0,0,17.5597648620605,15.5106134414673,
"22-Jul",-999,0,21.8294105529785,13.0929231643677,4.37044620513916,0,0,0,0,0,0,3.53273105621338,20.1444320678711,0,23.0620021820068,10.2602424621582,0,2.40046000480652,27.5639629364014,0,4.79189109802246,2.51826882362366,0,0,0,0,0,0,13.2771644592285,3.45862722396851,5.00840044021606,2.8462061882019,0,15.0408811569214,0,14.1327962875366,0,
"23-Jul",10.5710783004761,0,4.84049129486084,-999,38.6029090881348,0,0,0,5.00805902481079,0,5.89552164077759,9.65155124664307,0,3.44904351234436,0,0,9.6428165435791,0,8.49327945709229,0,0,4.53531837463379,2.47196650505066,0,0,8.78089618682861,5.77032995223999,3.12721061706543,4.98053979873657,0,0,6.12922763824463,17.1266384124756,26.294340133667,15.378604888916,0,0,
"24-Jul",0,4.55987739562988,0,-999,0,49.264778137207,1.52583944797516,0,0,0,0,16.2021236419678,0,0,26.1661567687988,5.66005039215088,21.3440799713135,0,4.60759449005127,0,0,0,21.571439743042,3.21228265762329,9.06850242614746,0,32.4691543579102,11.1011791229248,22.9354286193848,0,0,0,0,0,3.76035451889038,27.4499969482422,0,
"25-Jul",0,0,0,0,0,0,11.0696153640747,0,0,0,0,0,4.26643133163452,0,0,0,11.2869529724121,0,0,0,0,0,0,0,2.61961936950684,3.44104957580566,10.6075057983398,0,0,0,2.96340942382812,10.148232460022,0,0,0,0,9.54161739349365,
"26-Jul",0,5.28764820098877,13.3453130722046,0,0,0,7.47391700744629,0,4.36015892028809,6.73455190658569,0,0,16.3613948822021,0,2.11408686637878,0,3.75284218788147,2.62112069129944,4.570396900177,2.61767578125,5.50756788253784,1.97104632854462,3.74814176559448,7.27571487426758,0,0,2.11492562294006,0,0,0,0,9.61116600036621,18.5648460388184,0,21.5536251068115,0,0,
"27-Jul",0,0,0,-999,8.78676891326904,1.17624640464783,1.90102100372314,0,5.24819946289062,5.9309720993042,15.0096416473389,5.95849752426147,4.08627319335938,22.6179618835449,0,0,0,0,0,3.267502784729,7.39450836181641,7.04046678543091,8.07812023162842,7.87940406799316,0,0,14.0107345581055,6.69066381454468,3.06570529937744,0,22.4702854156494,9.64866161346436,0,19.9576511383057,0,0,26.7172050476074,
"28-Jul",3.51060748100281,0,0,0,-999,0,0,3.54305076599121,0,5.33398103713989,6.98867511749268,1.75928318500519,0,26.0828056335449,7.68058395385742,4.44012832641602,0,1.7790664434433,12.3319444656372,0,2.4437997341156,5.95917892456055,0,0,10.8860597610474,4.37736892700195,17.739049911499,3.62103772163391,15.3800010681152,7.44831466674805,0,0,3.43872570991516,7.30619668960571,0,0,0,
"29-Jul",0,0,15.5892744064331,7.09218406677246,2.15968227386475,11.98948097229,2.65059304237366,0,0,0,0,0,4.51190662384033,0,7.40681076049805,0,7.99982500076294,5.96439790725708,0,0,6.07715082168579,0,0,0,6.65138149261475,0,0,1.8115336894989,3.42364621162415,0,0,11.9680004119873,14.7654705047607,0,0,4.04210424423218,0,
"30-Jul",0,8.72614192962646,0,31.0307846069336,20.1100692749023,2.67272400856018,3.27928423881531,12.3252334594727,0,2.88631129264832,18.2114658355713,3.64194369316101,6.29490995407104,0,0,0,0,0,0,0,4.8166971206665,0,0,7.74562931060791,0,15.1214027404785,0,2.81276822090149,0,15.9992656707764,0,8.64992046356201,14.8302764892578,9.63471603393555,13.3398132324219,9.74179744720459,0,
"31-Jul",0,0,0,0,0,0,4.36551427841187,5.82574272155762,0,0,0,0,0,7.99111557006836,4.68898391723633,4.04757881164551,0,2.63069915771484,0,3.28902888298035,0,2.59894323348999,0,2.68740320205688,0,9.70320796966553,17.9249839782715,2.53835463523865,3.30075216293335,0,0,0,0,0,29.5061550140381,0,8.15703296661377,
"1-Aug",0,28.7409782409668,28.0416374206543,-999,0,3.00179553031921,3.49085164070129,63.3228797912598,0,0,0,6.71091270446777,7.58509397506714,15.4992923736572,0,0,4.0351734161377,1.59607911109924,0,4.84929132461548,2.62260937690735,21.8042850494385,0,0,10.8210687637329,0,0,1.64311385154724,0,30.4096508026123,0,0,0,5.98184871673584,0,0,0,
"2-Aug",14.6208391189575,0,0,0,0,1.54408538341522,-999,0,14.1115322113037,14.2103290557861,0,0,0,0,26.0743789672852,0,3.20030379295349,2.22266578674316,0,9.64930820465088,2.80204010009766,0,1.85319554805756,12.6433181762695,0,6.8112621307373,0,0,6.87910175323486,11.4574956893921,0,0,0,0,0,8.79339408874512,14.8071794509888,
"3-Aug",0,0,0,-999,0,10.9443559646606,4.41424608230591,1.29740560054779,1.54858994483948,12.3685960769653,0,1.79920530319214,10.4962587356567,3.2648024559021,0,0,2.26142430305481,0,0,0,1.09097969532013,0,3.25555396080017,2.02051591873169,26.7810840606689,0,26.390754699707,0,0.489246964454651,0,0,23.682559967041,4.2000093460083,31.0539226531982,14.7018728256226,4.53564596176147,32.4214134216309,
"4-Aug",12.8739538192749,0,12.6367244720459,7.13273572921753,7.5447301864624,0,4.83649253845215,0,6.68950748443604,0,0,12.5445585250854,0,0,0,9.6234016418457,0.918263256549835,3.53901028633118,0,0,0,0,8.09326648712158,0,26.1273193359375,0,4.44246625900269,0,0,0,0,0,6.23352718353271,8.1645975112915,5.5146598815918,10.6409645080566,2.51740455627441,
"5-Aug",11.979305267334,0,0,4.35591220855713,0,19.8532371520996,22.0766716003418,0,7.8103666305542,3.50681471824646,0,0,0,16.9435558319092,0,2.41149377822876,2.59951972961426,4.89496231079102,4.37014198303223,0,0,0,0,0,7.33288240432739,3.57565975189209,8.50584697723389,8.30425262451172,0.996631860733032,0,9.47842788696289,0,3.18681907653809,0,0,8.02114009857178,4.90350580215454,
"6-Aug",7.41520023345947,9.56100559234619,0,0,0,0,2.99907326698303,0,0,7.23205232620239,50.7739639282227,2.81063199043274,9.17494964599609,2.317063331604,7.21560573577881,0,0,8.94393253326416,0,0,11.4524345397949,1.19073688983917,8.90000820159912,0,0,0,15.9838762283325,7.87590169906616,0,13.7016792297363,8.05960273742676,0,0,5.34954357147217,11.7012090682983,9.38326072692871,11.1374559402466,
"7-Aug",0,0,11.1101808547974,0,14.3146228790283,0,0,0,4.12509727478027,0,5.70429944992065,9.89672183990479,16.3593006134033,0,17.3938980102539,0,8.23802280426025,3.15369701385498,0,5.51908540725708,0,4.42550182342529,0,12.4533567428589,8.91839694976807,0,0,11.6849126815796,0,0,0,0,2.689786195755,0,0,0,21.2117233276367,
"8-Aug",0,0,0,3.57270622253418,6.60005569458008,14.2288017272949,0,-999,5.00684976577759,0,0,0,5.2354621887207,0,26.0436458587646,12.2980337142944,0,0,9.05794143676758,0,20.756383895874,0,0,0,5.94791984558105,0.658956170082092,0,0,0,0,5.06004905700684,9.93250560760498,14.5159616470337,31.5437717437744,0,0,10.2359685897827,
"9-Aug",13.6251096725464,6.5983247756958,0,0,15.8653049468994,0,0,0,0,7.76721715927124,0,4.54269218444824,0,17.2317008972168,22.2591342926025,0,8.7894115447998,0,12.0691022872925,0,0,0,11.1155872344971,5.21532869338989,7.86531543731689,1.10347497463226,0,7.251389503479,0,0,13.9870080947876,0,7.4153904914856,0,0,0,18.5013961791992,
"10-Aug",5.66665554046631,0,0,0,3.07897782325745,7.66043281555176,2.18764209747314,7.38674736022949,2.38998031616211,0,5.76549005508423,5.70313310623169,0,3.5832839012146,0,3.04267764091492,10.2783336639404,0,0,7.44211196899414,0,8.17501831054688,10.797679901123,0,0,0,8.64699077606201,14.7516345977783,0,10.6576738357544,0,5.33376550674438,0,0,7.87273359298706,11.50084400177,14.6188478469849,
"11-Aug",0,0,0,0,-999,6.84691619873047,0,0,2.44090604782104,0,0,0,5.05309009552002,0,0,2.19195818901062,0,0,0,4.37216520309448,0,0,1.41078531742096,1.4235668182373,0,1.93421578407288,0,0,9.81785488128662,0,4.09946060180664,10.9530897140503,12.8874158859253,0,22.1710605621338,0,6.29745674133301,
"12-Aug",0,3.90337681770325,0,-999,0,0,0,12.0063419342041,0,0,0,0,0,0,3.04873847961426,25.3979339599609,0,15.9828023910522,6.09174251556396,0,0,5.38147783279419,8.43699932098389,12.7388467788696,5.63736963272095,2.06123328208923,0,0,0,10.4504337310791,1.99005329608917,11.168212890625,40.3878402709961,0,0,16.0785713195801,26.7548904418945,
"13-Aug",67.8647308349609,-999,16.4612236022949,0,12.4120445251465,27.5286350250244,0,1.99232840538025,3.66091132164001,17.7463417053223,12.8585424423218,6.17875814437866,0,55.1675758361816,23.3978805541992,0,0,0,5.61530685424805,0,10.9230661392212,0,0,3.40204668045044,19.081693649292,0,5.94744110107422,0,7.08997631072998,2.38063049316406,14.4185218811035,43.4058570861816,0,19.9277820587158,0,0,12.4005937576294,
"14-Aug",5.61428213119507,-999,10.4548578262329,17.0859603881836,10.36767578125,0,0,0,0,1.44991481304169,-999,7.34495449066162,0,13.003643989563,0,0,21.6764430999756,5.32059717178345,7.76851272583008,0,2.15793585777283,0,0,3.28941535949707,20.9195384979248,0,1.41999089717865,14.5396699905396,5.74075222015381,11.2928018569946,10.9351282119751,0,0,0,10.7626934051514,0,5.98987627029419,
